Số thứ tự,Tên đơn vị hành chính,Tỉnh/Thành phố,Chú thích,Dân số (người),Diện tích (km²),Mật độ dân số (người/km²),Số ĐVHC cấp xã
164,Dầu Tiếng,Bình Dương,,112472,721.1,156,12
165,Dĩ An,Bình Dương,thành phố,403760,60.1,6718,7
166,Di Linh,Lâm Đồng,,159994,1614.2,99,19
167,Điện Bàn,Quảng Nam,thị xã,226564,216.3,1047,20
168,Điện Biên,Điện Biên,,93850,1396,67,21
169,Điện Biên Đông,Điện Biên,,6708,1209,55,14
170,Điện Biên Phủ,Điện Biên,thành phố,80366,308.2,261,12
171,Diễn Châu,Nghệ An,,312506,305,1025,37
172,Diên Khánh,Khánh Hòa,,143211,337.6,424,18
173,Định Hóa,Thái Nguyên,,89288,513.5,174,23
174,Đình Lập,Lạng Sơn,,28579,1189.6,24,12
175,Định Quán,Đồng Nai,,187306,971.1,193,14
176,Đô Lương,Nghệ An,,213543,350.1,610,33
177,Đồ Sơn,Hải Phòng,quận,49029,45.9,1068,6
178,Đoan Hùng,Phú Thọ,,115131,302.9,380,22
179,Đơn Dương,Lâm Đồng,,107281,611.4,175,10
180,Đông Anh,Hà Nội,,405749,185.6,2186,24
181,Đống Đa,Hà Nội,quận,371606,10,37161,21
182,Đông Giang,Quảng Nam,,25116,821.9,31,11
183,Đông Hà,Quảng Trị,thành phố,95658,73,131,9
184,Đông Hải,Bạc Liêu,,152619,570.1,268,11
185,Đông Hòa,Phú Yên,thị xã,119991,265.6,452,10
186,Đồng Hới,Quảng Bình,thành phố,133672,155.9,857,15
187,Đông Hưng,Thái Bình,,244838,199.3,1228,38
188,Đồng Hỷ,Thái Nguyên,,92421,427.7,216,15
189,Đồng Phú,Bình Phước,,96481,936.2,103,11
190,Đông Sơn,Thanh Hóa,,76923,82.9,928,14
191,Đông Triều,Quảng Ninh,thị xã,171673,396.6,433,21
192,Đồng Văn,Hà Giang,,8188,451.7,181,19
193,Đồng Xoài,Bình Phước,thành phố,150052,167.3,897,8
194,Đồng Xuân,Phú Yên,,5503,1033.3,53,11
195,Đức Cơ,Gia Lai,,75718,721.9,105,10
196,Đức Hòa,Long An,,315711,425.1,743,20
197,Đức Huệ,Long An,,65961,428.9,154,11
198,Đức Linh,Bình Thuận,,126035,546.6,231,12
199,Đức Phổ,Quảng Ngãi,thị xã,150927,372.8,405,15
200,Đức Thọ,Hà Tĩnh,,101562,203.5,499,16
201,Đức Trọng,Lâm Đồng,,186974,903.6,207,15
202,Dương Kinh,Hải Phòng,quận,60319,46.8,1289,6
203,Dương Minh Châu,Tây Ninh,,119158,435.6,274,11
204,Duy Tiên,Hà Nam,thị xã,154016,120.9,1274,16
205,Duy Xuyên,Quảng Nam,,126686,309.2,410,14
206,Duyên Hải,Trà Vinh,thị xã,4821,175.1,275,7
207,Duyên Hải,Trà Vinh,,78444,305.4,257,7
208,Ea H'leo,Đắk Lắk,,13688,1335.1,103,12
209,Ea Kar,Đắk Lắk,,14445,1037.5,139,16
210,Ea Súp,Đắk Lắk,,70724,1765.6,40,10
211,Gia Bình,Bắc Ninh,,103517,107.6,962,14
212,Gia Lâm,Hà Nội,,286102,116.7,2452,22
213,Gia Lộc,Hải Dương,,115617,99.7,116,18
214,Gia Nghĩa,Đắk Nông,thành phố,85082,284.1,299,8
215,Giá Rai,Bạc Liêu,thị xã,143613,355,405,10
216,Gia Viễn,Ninh Bình,,120992,176.7,685,21
217,Giang Thành,Kiên Giang,,29215,412.8,71,5
218,Giao Thủy,Nam Định,,167752,237.8,705,22
219,Gio Linh,Quảng Trị,,75276,473.8,159,17
220,Giồng Riềng,Kiên Giang,,224655,639.4,351,19
221,Giồng Trôm,Bến Tre,,169987,312.6,544,21
222,Gò Công,Tiền Giang,thành phố,99657,101.7,980,10
223,Gò Công Đông,Tiền Giang,,13906,273.2,509,13
224,Gò Công Tây,Tiền Giang,,127132,184.5,689,13
225,Gò Dầu,Tây Ninh,,152757,260,588,9
226,Gò Quao,Kiên Giang,,132508,439.5,301,11
227,Gò Vấp,TP Hồ Chí Minh,quận,676899,19.7,3436,16
228,Hà Đông,Hà Nội,quận,397854,49.6,8021,17
229,Hà Giang,Hà Giang,thành phố,55559,133.5,416,8
230,Hạ Hòa,Phú Thọ,,104997,341.5,307,20
231,Hạ Lang,Cao Bằng,,25439,456.5,56,13
232,Hạ Long,Quảng Ninh,thành phố,300267,1119.1,268,33
233,Hà Quảng,Cao Bằng,,59467,811,73,21
234,Hà Tiên,Kiên Giang,thành phố,81576,100.5,812,7
235,Hà Tĩnh,Hà Tĩnh,thành phố,104037,56.6,1838,15
236,Hà Trung,Thanh Hóa,,118826,243.8,487,20
237,Hải An,Hải Phòng,quận,132943,103.7,1282,8
238,Hai Bà Trưng,Hà Nội,quận,303586,10.3,29474,18
239,Hải Châu,Đà Nẵng,quận,201522,23.3,8649,13
240,Hải Dương,Hải Dương,thành phố,508190,111.6,4554,25
241,Hải Hà,Quảng Ninh,,61566,511.6,120,11
242,Hải Hậu,Nam Định,,262901,228.1,1153,34
243,Hải Lăng,Quảng Trị,,79533,425.1,187,16
244,Hàm Tân,Bình Thuận,,70697,739.1,96,10
245,Hàm Thuận Bắc,Bình Thuận,,184131,1344.5,137,17
246,Hàm Thuận Nam,Bình Thuận,,116544,1058.4,110,13
247,Hàm Yên,Tuyên Quang,,121342,900.6,135,18
248,Hậu Lộc,Thanh Hóa,,176418,143.7,1228,23
249,Hiệp Đức,Quảng Nam,,37127,496.9,75,11
250,Hiệp Hòa,Bắc Giang,,24746,206,1201,25
251,Hòa An,Cao Bằng,,52762,606,87,15
252,Hòa Bình,Hòa Bình,thành phố,135718,348.7,389,19
253,Hòa Bình,Bạc Liêu,,117753,376,313,8
254,Hoa Lư,Ninh Bình,,71839,103.5,694,11
255,Hòa Thành,Tây Ninh,thị xã,147666,82.9,1781,10
256,Hòa Vang,Đà Nẵng,,145749,733.2,199,11
257,Hoài Ân,Bình Định,,857,753.2,114,15
258,Hoài Đức,Hà Nội,,262978,85,3094,20
259,Hoài Nhơn,Bình Định,thị xã,212063,420.8,504,17
260,Hoàn Kiếm,Hà Nội,quận,135618,5.3,25588,18
261,Hoằng Hóa,Thanh Hóa,,233043,203.8,1143,37
262,Hoàng Mai,Hà Nội,quận,506347,40.3,12564,14
263,Hoàng Mai,Nghệ An,thị xã,11336,169.8,668,10
264,Hoàng Sa,Đà Nẵng,huyện đảo,0,305,186,0
265,Hoàng Su Phì,Hà Giang,,66683,632.4,105,24
266,Hóc Môn,TP Hồ Chí Minh,,542243,109.2,4966,12
267,Hội An,Quảng Nam,thành phố,98599,63.6,155,13
268,Hòn Đất,Kiên Giang,,156273,1039.6,150,14
269,Hớn Quản,Bình Phước,,98817,664.1,149,13
270,Hồng Bàng,Hải Phòng,quận,96111,14.5,6628,9
271,Hồng Dân,Bạc Liêu,,111848,424,264,9
272,Hồng Lĩnh,Hà Tĩnh,thị xã,38411,59,651,6
273,Hồng Ngự,Đồng Tháp,thành phố,100610,121.8,826,7
274,Hồng Ngự,Đồng Tháp,,120571,209.6,575,10
275,Huế,Thừa Thiên Huế,thành phố,652572,266,2453,36
276,Hưng Hà,Thái Bình,,253272,210.3,1204,35
277,Hưng Nguyên,Nghệ An,,124245,159.2,780,18
278,Hưng Yên,Hưng Yên,thành phố,116356,73.9,1575,17
279,Hướng Hóa,Quảng Trị,,90918,1152.8,79,21
280,Hương Khê,Hà Tĩnh,,99307,1262.7,79,21
281,Hương Sơn,Hà Tĩnh,,112426,1096.8,103,25
282,Hương Thủy,Thừa Thiên Huế,thị xã,95299,427,223,10
283,Hương Trà,Thừa Thiên Huế,thị xã,72677,392.3,185,9
284,Hữu Lũng,Lạng Sơn,,121735,807.6,151,24
285,Ia Grai,Gia Lai,,105664,1119.6,94,13
286,Ia H'Drai,Kon Tum,,1021,980.2,10,3
287,Ia Pa,Gia Lai,,56596,868.6,65,9
288,Kbang,Gia Lai,,65437,1840.9,36,14
289,Kế Sách,Sóc Trăng,,149156,352.8,423,13
290,Khánh Sơn,Khánh Hòa,,25349,338.5,75,8
291,Khánh Vĩnh,Khánh Hòa,,3978,1167.2,34,14
292,Khoái Châu,Hưng Yên,,188255,131,1437,25
293,Kiến An,Hải Phòng,quận,118047,29.6,3988,10
294,Kiên Hải,Kiên Giang,huyện đảo,17588,24.6,715,4
295,Kiên Lương,Kiên Giang,,79484,473.3,168,8
296,Kiến Thụy,Hải Phòng,,140417,108.9,1289,18
297,Kiến Tường,Long An,thị xã,43674,204.4,214,8
298,Kiến Xương,Thái Bình,,216682,202,1073,33
299,Kim Bảng,Hà Nam,,125634,175.4,716,18
300,Kim Bôi,Hòa Bình,,118767,551,216,17
301,Kim Động,Hưng Yên,,117734,103.3,114,17
302,Kim Sơn,Ninh Bình,,182942,215.7,848,26
303,Kim Thành,Hải Dương,,13615,115.1,1183,18
304,Kinh Môn,Hải Dương,thị xã,203638,165.3,1232,23
305,Kon Plông,Kon Tum,,26025,1371.2,19,9
306,Kon Rẫy,Kon Tum,,28591,913.9,31,7
307,Kon Tum,Kon Tum,thành phố,168264,432.9,389,21
308,Kông Chro,Gia Lai,,52406,1439.7,36,14
309,Krông Ana,Đắk Lắk,,79892,356.1,224,8
310,Krông Bông,Đắk Lắk,,92064,1257.5,73,14
311,Krông Búk,Đắk Lắk,,64859,357.8,181,7
312,Krông Năng,Đắk Lắk,,126366,614.8,206,12
313,Krông Nô,Đắk Nông,,74446,813.7,91,12
314,Krông Pa,Gia Lai,,86416,1623.7,53,14
315,Krông Pắc,Đắk Lắk,,194607,625.8,311,16
316,Kỳ Anh,Hà Tĩnh,thị xã,82955,282.2,294,11
317,Kỳ Anh,Hà Tĩnh,,121662,759.6,160,20
318,Kỳ Sơn,Nghệ An,,80288,2094.3,38,21
319,La Gi,Bình Thuận,thị xã,107057,185.4,577,9
320,Lạc Dương,Lâm Đồng,,27956,1311.4,21,6
321,Lạc Sơn,Hòa Bình,,136652,587.5,233,24
322,Lạc Thủy,Hòa Bình,,60393,313.6,193,10
323,Lai Châu,Lai Châu,thành phố,42973,92.4,465,7
324,Lai Vung,Đồng Tháp,,16424,238.7,688,12
325,Lắk,Đắk Lắk,,69885,1256,56,11
326,Lâm Bình,Tuyên Quang,,51421,917.6,56,10
327,Lâm Hà,Lâm Đồng,,144436,930.2,155,16
328,Lâm Thao,Phú Thọ,,107989,98.4,1097,12
329,Lang Chánh,Thanh Hóa,,49654,585.6,85,10
330,Lạng Giang,Bắc Giang,,216996,244.1,889,21
331,Lạng Sơn,Lạng Sơn,thành phố,103284,77.9,1326,8
332,Lào Cai,Lào Cai,thành phố,130671,282.1,463,17
333,Lập Thạch,Vĩnh Phúc,,13615,172.2,791,20
334,Lấp Vò,Đồng Tháp,,180627,246,734,13
335,Lê Chân,Hải Phòng,quận,219762,11.9,18467,15
336,Lệ Thủy,Quảng Bình,,137831,1401.8,98,26
337,Liên Chiểu,Đà Nẵng,quận,194913,74.5,2616,5
338,Lộc Bình,Lạng Sơn,,8474,986.4,86,21
339,Lộc Hà,Hà Tĩnh,,79178,117.4,674,12
340,Lộc Ninh,Bình Phước,,114319,853.3,134,16
341,Long Biên,Hà Nội,quận,322549,59.8,5394,14
342,Long Điền,Bà Rịa – Vũng Tàu,,135763,77.6,175,7
343,Long Hồ,Vĩnh Long,,167698,196.3,854,15
344,Long Khánh,Đồng Nai,thành phố,171276,191.8,893,15
345,Long Mỹ,Hậu Giang,thị xã,62339,144.5,431,9
346,Long Mỹ,Hậu Giang,,77346,254,305,8
347,Long Phú,Sóc Trăng,,94255,263.7,357,11
348,Long Thành,Đồng Nai,,246051,430.7,571,14
349,Long Xuyên,An Giang,thành phố,272365,115.4,236,13
350,Lục Nam,Bắc Giang,,226194,608.6,372,25
351,Lục Ngạn,Bắc Giang,,22654,1032.5,219,29
352,Lục Yên,Yên Bái,,108817,810,134,24
353,Lương Sơn,Hòa Bình,,99457,364.9,273,11
354,Lương Tài,Bắc Ninh,,104469,105.9,986,14
355,Lý Nhân,Hà Nam,,180189,168.8,1067,21
356,Lý Sơn,Quảng Ngãi,huyện đảo,22174,10.4,2132,0
357,M'Drắk,Đắk Lắk,,72153,1336.3,54,13
358,Mai Châu,Hòa Bình,,5564,569.8,98,16
359,Mai Sơn,Sơn La,,163881,1426.7,115,22
360,Mang Thít,Vĩnh Long,,96172,162.5,592,12
361,Mang Yang,Gia Lai,,68273,1127.2,61,12
362,Mê Linh,Hà Nội,,240555,142.5,1688,18
363,Mèo Vạc,Hà Giang,,86071,574.2,150,18
364,Minh Hóa,Quảng Bình,,5067,1393.8,36,15
365,Minh Long,Quảng Ngãi,,18722,217.2,86,5
366,Mỏ Cày Bắc,Bến Tre,,11321,165.2,685,13
367,Mỏ Cày Nam,Bến Tre,,143577,230.8,622,16
368,Mộ Đức,Quảng Ngãi,,112592,214,526,13
369,Mộc Châu,Sơn La,,11446,1071.7,107,15
370,Mộc Hóa,Long An,,28165,300,94,7
371,Móng Cái,Quảng Ninh,thành phố,108553,519.6,209,17
372,Mù Cang Chải,Yên Bái,,63961,1197.9,53,14
373,Mường Ảng,Điện Biên,,48416,443.5,109,10
374,Mường Chà,Điện Biên,,48005,1199.4,40,12
375,Mường Khương,Lào Cai,,63682,556.1,115,16
376,Mường La,Sơn La,,99534,1425.4,70,16
377,Mường Lát,Thanh Hóa,,39948,812.4,49,8
378,Mường Lay,Điện Biên,thị xã,11162,112.6,99,3
379,Mường Nhé,Điện Biên,,45727,1573.7,29,11
380,Mường Tè,Lai Châu,,46143,2679.3,17,14
381,Mỹ Đức,Hà Nội,,199901,226.3,883,22
382,Mỹ Hào,Hưng Yên,thị xã,158673,79.4,1998,13
383,Mỹ Lộc,Nam Định,,72514,74.5,973,11
384,Mỹ Tho,Tiền Giang,thành phố,228109,82.3,2772,17
385,Mỹ Tú,Sóc Trăng,,90524,368.2,246,10
386,Mỹ Xuyên,Sóc Trăng,,150067,373.7,402,11
387,Na Hang,Tuyên Quang,,43248,863.5,50,12
388,Na Rì,Bắc Kạn,,38263,853,45,17
389,Năm Căn,Cà Mau,,56813,482.8,118,8
390,Nam Đàn,Nghệ An,,164634,292.5,563,19
391,Nam Định,Nam Định,thành phố,236294,46.4,5093,25
392,Nam Đông,Thừa Thiên Huế,,243,647.8,38,10
393,Nam Giang,Quảng Nam,,26123,1846.6,14,12
394,Nậm Nhùn,Lai Châu,,27261,1388,20,11
395,Nậm Pồ,Điện Biên,,54908,1498.1,37,15
396,Nam Sách,Hải Dương,,126325,111,1138,19
397,Nam Trà My,Quảng Nam,,31306,826.4,38,10
398,Nam Trực,Nam Định,,183241,163.9,1118,20
399,Nam Từ Liêm,Hà Nội,quận,269076,32.2,8364,10
400,Ngã Bảy,Hậu Giang,thành phố,101192,78.1,1296,6
401,Ngã Năm,Sóc Trăng,thị xã,74115,242.2,306,8
402,Nga Sơn,Thanh Hóa,,141114,157.8,894,24
403,Ngân Sơn,Bắc Kạn,,29269,645.9,45,10
404,Nghi Lộc,Nghệ An,,218005,345.9,630,29
405,Nghi Sơn,Thanh Hóa,thị xã,307304,455.6,675,31
406,Nghi Xuân,Hà Tĩnh,,10216,222.5,459,17
407,Nghĩa Đàn,Nghệ An,,140515,617.8,227,23
408,Nghĩa Hành,Quảng Ngãi,,8225,234.4,351,12
409,Nghĩa Hưng,Nam Định,,175786,258.9,679,24
410,Nghĩa Lộ,Yên Bái,thị xã,68206,107.8,633,14
411,Ngô Quyền,Hải Phòng,quận,165309,11.3,14629,12
412,Ngọc Hiển,Cà Mau,,66874,708.6,94,7
413,Ngọc Hồi,Kon Tum,,58913,843.8,70,8
414,Ngọc Lặc,Thanh Hóa,,136611,491,278,21
415,Ngũ Hành Sơn,Đà Nẵng,quận,90352,40.2,2248,4
416,Nguyên Bình,Cao Bằng,,39654,838,47,17
417,Nhà Bè,TP Hồ Chí Minh,,206837,100.4,206,7
418,Nha Trang,Khánh Hòa,thành phố,422601,254.3,1662,27
419,Nho Quan,Ninh Bình,,14983,450.6,333,27
420,Nhơn Trạch,Đồng Nai,,260592,410.8,634,12
421,Như Thanh,Thanh Hóa,,94906,588.1,161,14
422,Như Xuân,Thanh Hóa,,6624,721.7,92,16
423,Ninh Bình,Ninh Bình,thành phố,12848,46.8,2745,14
424,Ninh Giang,Hải Dương,,146493,136.8,1071,20
425,Ninh Hải,Ninh Thuận,,92231,253.6,364,9
426,Ninh Hòa,Khánh Hòa,thị xã,230049,1108,208,27
427,Ninh Kiều,Cần Thơ,quận,280494,29.2,9606,11
428,Ninh Phước,Ninh Thuận,,128028,342,374,9
429,Ninh Sơn,Ninh Thuận,,71888,771.8,93,8
430,Nông Cống,Thanh Hóa,,182801,285.1,641,29
431,Nông Sơn,Quảng Nam,,26678,471.6,57,6
432,Núi Thành,Quảng Nam,,147721,555.8,266,17
433,Ô Môn,Cần Thơ,quận,128677,131.9,976,7
434,Pác Nặm,Bắc Kạn,,33439,475.4,70,10
435,Phan Rang - Tháp Chàm,Ninh Thuận,thành phố,167394,79.2,2114,16
436,Phan Thiết,Bình Thuận,thành phố,226736,210.9,1075,18
437,Phổ Yên,Thái Nguyên,thành phố,196378,258.9,759,18
438,Phong Điền,Cần Thơ,,98424,126.3,779,7
439,Phong Điền,Thừa Thiên Huế,,87781,948.2,93,16
440,Phong Thổ,Lai Châu,,79645,1029.2,77,17
441,Phú Bình,Thái Nguyên,,156804,243.4,644,20
442,Phù Cát,Bình Định,,18344,680.7,269,18
443,Phù Cừ,Hưng Yên,,79954,94.6,845,14
444,Phú Giáo,Bình Dương,,89741,544.4,165,11
445,Phú Hòa,Phú Yên,,102074,258.8,394,9
446,Phú Lộc,Thừa Thiên Huế,,129846,720.4,180,17
447,Phú Lương,Thái Nguyên,,102292,350.7,292,15
